program_id,name,region,budget_plan,budget_actual,beneficiaries_plan,beneficiaries_actual,kpi_plan,kpi_actual,start_date,end_date,data_quality,source_id
GP03-2024-01,"Поддержка отдельных категорий государственных служащих и членов их семей",Российская Федерация,62835527200,59576561800,100,100,100,94.81,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p15
GP03-2024-02,"Выплаты по обязательному социальному страхованию",Российская Федерация,834653174100,741719402800,100,100,100,88.87,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p15
GP03-2024-03,"Поддержка Героев и полных кавалеров орденов",Российская Федерация,2525332300,2512448600,100,100,100,99.49,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p16
GP03-2024-04,"Поддержка граждан, подвергшихся радиационному воздействию",Российская Федерация,48883363600,47428353200,100,100,100,97.02,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p17
GP03-2024-05,"Поддержка детей-сирот и граждан, принявших детей на воспитание",Российская Федерация,15227089100,14666271100,100,100,100,96.32,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p17
GP03-2024-06,"Поддержка семей с детьми",Российская Федерация,2127754737100,2075971150600,10695400,10812900,100,97.57,2024-01-01,2024-12-31,"Бюджет, число получателей и KPI исполнения — официальные; получатели указаны в людях, исходно в отчёте — тыс. человек",mintrud-gp03-2024-p18
GP03-2024-07,"Поддержка отдельных категорий граждан",Российская Федерация,352843702000,330920653500,100,100,100,93.79,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p19
GP03-2024-08,"Поддержка пенсионеров",Российская Федерация,119618096500,117823491200,100,100,100,98.50,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p19
GP03-2024-09,"Поддержка инвалидов",Российская Федерация,564676206900,412477120800,100,100,100,73.05,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p20
GP03-2024-10,"Поддержка ветеранов Великой Отечественной войны и боевых действий",Российская Федерация,230463406000,138433378800,100,100,100,60.07,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p21
GP03-2024-11,"Адресная социальная поддержка граждан в регионах",Российская Федерация,137374972500,136735269600,100,100,100,99.53,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p21
GP03-2024-12,"Финансовая поддержка семей при рождении детей",Российская Федерация,562021155600,561987016500,100,100,100,99.99,2024-01-01,2024-12-31,"Бюджет и KPI исполнения — официальные; поле получателей нейтральное, так как в отчёте нет числа получателей по этому элементу",mintrud-gp03-2024-p22
